title,address,phone,rating,category,logo,website,html_logo_help,html_logo,keyword,location
The Bar Room,"117 E 60th St, New York, NY 10022, United States",212-561-5523,4.3,American restauran,https://www.themodernnyc.com/,http://www.thebarroomnyc.com/,,"""""",bars,nyc
W XYZ Bar and Lounge at Aloft Manhattan Downtown,"49-53 Ann St, New York, NY 10038, United States",212-513-0003,4.2,Lounge,https://cblproperty.blob.core.windows.net/production/assets/blt6d19f12891183e49-W%20XYZ%20Logo.png,http://www.aloftmanhattandowntown.com/financial-district-bar,,"""""",bars,nyc
Rockbar NYC,"185 Christopher St, New York, NY 10014, United States",212-675-1864,4.4,Bar,http://www.rockbarnyc.com/assets/rockbar_logo_white-4dc1912b8c2bf29d90c03da76e5caa57cde7eb14185457e01e68eaf8163c10c9.png,http://www.rockbarnyc.com/,,"""""",bars,nyc
Bowery Beer Garden,"93 Bowery, New York, NY 10002, United States",212-343-8111,4,Beer garden,"https://static.wixstatic.com/media/83e1b9_939c68a68d594467bf9d53cdcdcd052e~mv2.jpg/v1/fill/w_167,h_63,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/83e1b9_939c68a68d594467bf9d53cdcdcd052e~mv2.jpg",http://www.thebowerybeergarden.com/,,"""""",bars,nyc
Onieal's,"174 Grand St, New York, NY 10013, United States",212-941-9119,4.3,American restauran,http://images.squarespace-cdn.com/content/v1/54651e38e4b011167bec94c7/1424202107089-KLBV8YG2XMMNPYTP8VOC/onieals_logo_rgb+%282%29.jpg?format=1500w,http://onieals.com/soho,,"""""",bars,nyc
Tiny's & The Bar Upstairs,"135 W Broadway, New York, NY 10013, United States",212-374-1135,4.4,American restauran,https://images.getbento.com/accounts/b1326df07949e7dee811201cf91a77a7/media/images/38389Tiny_s_Logo_1.png,http://www.tinysnyc.com/,,"""""",bars,nyc
Sunken Harbor Club,"372 Fulton St 2nd Floor, Brooklyn, NY 11201, United States",,4.9,Cocktail bar,"https://images.getbento.com/accounts/01e00818a7c206a52f282e3ab9590831/media/images/SHC_logo_green_gold.png?w=1000&fit=max&auto=compress,format&h=1000",https://www.gageandtollner.com/sunken-harbor-club/,,"""""",bars,nyc
Baretto New York,"60 E 49th St, New York, NY 10017, United States",646-869-5400,5,bar,,https://www.fasanorestaurantny.com/baretto/,,"""""",bars,nyc
Gilligan's,"310 W Broadway, New York, NY 10013, United States",212-965-3271,4.1,Cocktail bar,https://d3rg18dos0rgue.cloudfront.net/wp-content/uploads/sites/10/2022/07/gilligans-logo.png,http://www.gilligansnyc.com/,,"""""",bars,nyc
Bar at Momofuku Ko,"8 Extra Pl, New York, NY 10003, United States",,4.7,Cocktail bar,,https://ko.momofuku.com/home/menu/,,"""""",bars,nyc
Puffy's Tavern,"81 Hudson St, New York, NY 10013, United States",212-227-3912,4.4,Gastropub,https://scontent.fskt2-1.fna.fbcdn.net/v/t39.30808-6/301684023_480942920705681_4402543039492973081_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=09cbfe&_nc_ohc=yFbajoJcFb0AX-V4PdC&_nc_ht=scontent.fskt2-1.fna&oh=00_AfDXDOps4JRWVfJ9ecbndolp4yJcDfj2umOPWLOGHRTohw&oe=648D1B30,http://www.puffystavern.nyc/,,"""""",bars,nyc
Banzarbar,"2 Freeman Alley, New York, NY 10002, United States",212-420-0012,4.7,bar,https://images.squarespace-cdn.com/content/v1/5a1c85efbe42d6a9486dbad7/1515690067513-4D0KL4SLJ4VR80C9Z1IC/Logo.png?format=1500w,https://www.banzarbar.com/,,"""""",bars,nyc
Loopy Doopy Rooftop Bar,,212-945-0100,4,Restaurant,,https://www.hilton.com/en/hotels/nyccici-conrad-new-york-downtown/dining/loopy-doopy-rooftop-bar/?SEO_id=GMB--R-NYCCICI-1&y_source=1_MTk1OTQ3MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,"""""",bars,nyc
Our/New York Bar & Vodka Distillery,"151 W 26th St, New York, NY 10001, United States",646-753-5556,4.6,Cocktail bar,https://images.squarespace-cdn.com/content/v1/61a6573ed6a94c67f4958446/4459ae49-6d0d-4677-9e1e-66c33f3d2116/our_new_york_white.png?format=1500w,https://www.ournewyorkvodka.com/,,"""""",bars,nyc
Full Shilling,"160 Pearl St #1, New York, NY 10005, United States",212-422-3855,4.3,Irish restaurant,http://www.thefullshilling.com/wordpress/wp-content/uploads/2016/11/logo.png,http://www.thefullshilling.com/,,"""""",bars,nyc
Reception Bar,"45 Orchard St, New York, NY 10002, United States",646-490-4053,4.6,Bar,https://images.squarespace-cdn.com/content/v1/5b43d59db40b9d355958ca99/1531181166025-Y2CI3FLRPF79CIW8CWFP/RECEPTION_LOGO.png?format=1500w,http://receptionbar.nyc/,,"""""",bars,nyc
Peter Dillon's 36th,"2 E 36th St, New York, NY 10016, United States",212-300-4091,4.5,Pub,,http://peterdillons.com/,,"""""",bars,nyc
Bar Moga,"128 W Houston St, New York, NY 10012, United States",929-399-5853,4.5,Cocktail bar,https://images.squarespace-cdn.com/content/v1/5892238dbe65942118bec136/1493231802860-8OJHQDOYL5192457IZFG/Moga_Logo_C_Transparent.png?format=original,http://www.barmoga.com/,,"""""",bars,nyc
The Hideaway Tribeca,"185 Duane St A, New York, NY 10013, United States",212-334-5775,4.2,Bar,https://images.squarespace-cdn.com/content/v1/56a50a461f40397dbaf977f3/d53c253f-5f1f-49c3-a1a2-e230e3f2f6f5/website+logo.png?format=1500w,http://thehideawaynyc.com/,,"""""",bars,nyc
Ty's Bar NYC,"114 Christopher St, New York, NY 10014, United States",12127419641,4.5,Bar,https://tys.nyc/wp-content/uploads/2019/12/tys-logo-white.png,http://tys.nyc/,,"""""",bars,nyc
The Cauldron,"47 Stone St, New York, NY 10004, United States",732-538-7630,4.3,Pub,https://thecauldron.io/sites/thecauldron/images/logo-white-co.png,http://thecauldron.io/nyc,,"""""",bars,nyc
The Triple Crown Ale House,"330 7th Ave, New York, NY 10001, United States",212-736-1575,4,Bar,http://triplecrownnyc.com/wp-content/uploads/2020/06/TRIPLE_CROWN_HD_LOGOv2mobile_48688de996aa0cec6e8286c8f4081d10-1.png,http://www.triplecrownnyc.com/,,"""""",bars,nyc
The Irish American Pub,"17 John St, New York, NY 10038, United States",646-414-6223,4.4,Irish pub,https://www.irishamericanpubnyc.com/img/irishAmericanLogo.png,http://www.irishamericanpubnyc.com/,,"""""",bars,nyc
Winnie’s Bar,"58 E Broadway 2nd fl, New York, NY 10002, United States",646-838-8880,4.2,Karaoke bar,,,,"""""",bars,nyc
Helen's New York,"22 1/2 9th Ave, New York, NY 10014, United States",646-998-5136,4.8,Bar,https://helensnewyork.com/wp-content/uploads/2019/03/Helens-Logo_New.png,https://helensnewyork.com/,,"""""",bars,nyc
Blarney Stone,"11 Trinity Pl, New York, NY 10006, United States",646-669-8197,4,Bar,,,,"""""",bars,nyc
Cat sports pub,"96 Greenwich St, New York, NY 10006, United States",917-261-6272,4.5,Bar,https://images.squarespace-cdn.com/content/v1/630f9ec69f123067e9605158/6179190c-7a97-415a-b8f6-4596321b631d/6261c255ae1f9730ea922a12_Irregulars+Logo+Secondary+Large-p-1080+1+%281%29.png?format=1500w,https://catsportspub.com/,,"""""",bars,nyc
Baker Street Irregulars,"1152 1st Ave., New York, NY 10065, United States",646-490-7295,4.2,Pub,,https://www.irregularsnyc.com/,,"""""",bars,nyc
Irish Punt,"40 Exchange Pl, New York, NY 10005, United States",212-422-7868,4.2,Bar,,https://www.facebook.com/The-Irish-Punt-120499437962602/,,"""""",bars,nyc
Tavern On Reade,"59 Reade St, New York, NY 10007, United States",212-349-5959,4.3,Bar & grill,https://static.spotapps.co/web/tavernonreade--com/custom/logo.png,https://www.tavernonreade.com/,,"""""",bars,nyc
T.J. Byrnes Bar & Restaurant,"77 Fulton St, New York, NY 10038, United States",212-406-4551,4.3,Irish pub,https://images.squarespace-cdn.com/content/v1/607deedc97cfc54a67e17e97/1618963062332-S3MDFCBQ6KBRYWCGX53X/TJLogoEmail.jpg?format=1500w,http://www.tjbyrnes.com/,,"""""",bars,nyc
Margarita Bar NYC,"4 South St, New York, NY 10004, United States",917-338-0315,4.2,Bar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeFiOi49y2Z4t1JCPgOGT6DotfRQ-t5hBdxxa3rPTDFw&s,http://www.margaritabarnyc.com/aboutcontact/,,"""""",bars,nyc
Club Bar & Grill,"4 Pennsylvania Plaza, New York, NY 10001, United States",212-465-6290,4.5,Bar & grill,https://assets.msg.com/logos/MadisonSquareGardenEntertainment_White.svg,http://www.thegarden.com/about/bars-restaurants.html,,"""""",bars,nyc
Carragher's,"Basement Bar, 17 John St, New York, NY 10038, United States",46-414-6223,4.4,Gastropub,https://images.squarespace-cdn.com/content/v1/62d71ed449e81c62227cac88/f06ab68d-478d-41b0-979b-89898d974b8d/Carraghgers_logo_gold.png?format=1500w,https://www.carraghersnyc.com/,,"""""",bars,nyc
Sir John's Bar and Grill,"18 W 33rd St, New York, NY 10001, United States",917-686-1804,4.1,Bar,,,,"""""",bars,nyc
Trinity Place,"115 Broadway, New York, NY 10006, United States",212-964-0939,4.4,American restaurant,https://static.spotapps.co/web/trinityplacenyc--com/custom/logo.png,http://www.trinityplacenyc.com/,,"""""",bars,nyc
Sky55 bar and grill,"55 Water St, New York, NY 10041, United States",646-590-6556,4.5,Bar & grill,https://masterpiececaterers.com/wp-content/uploads/2018/10/logo-mobile-standard-2.png,http://www.masterpiececaterers.com/55-water-st/sky-55/,,"""""",bars,nyc
Five & Dime,"8 Park Pl, Tribeca, NY 10007, United States",,4.5,Cocktail bar,https://fivedime.nyc/wp-content/uploads/2019/09/FD-Horizontal-Blk-wht-Logo-R-Converted-e1614969605732.png,http://fivedime.nyc/,,"""""",bars,nyc
O'Hara's Restaurant and Pub,"120 Cedar St, New York, NY 10006, United States",212-267-3032,4.6,American restaurant,,https://www.facebook.com/OharasPubNYC/,,"""""",bars,nyc
Primo's,"129 Chambers St, New York, NY 10007, United States",,4.5,Bar,https://static1.squarespace.com/static/ta/5a95ea20f93fd4608ccbbdd0/0/assets/images/dev/bird-cream-black.png,http://www.primostribeca.com/,,"""""",bars,nyc
Stout NYC,"90 John St, New York, NY 10038, United States",212-240-9122,4.2,Bar,https://images.getbento.com/accounts/b6bbbbf288efff1f22635abb9e9f66ce/media/images/541946986logo.png,https://www.stoutnyc.com/,,"""""",bars,nyc
Fraunces Tavern,"54 Pearl St, New York, NY 10004, United States",212-968-1776,4.5,American restaurant,https://static.spotapps.co/website_images/ab_websites/2802_website/logo_new.png,http://www.frauncestavern.com/,,"""""",bars,nyc
HiLot,"102 Loisaida Ave, New York, NY 10009, United States",917-444-1108,4.7,Cocktail bar,,http://www.hilot.nyc/,,"""""",bars,nyc
Mehanata Bulgarian Bar,"113 Ludlow St, New York, NY 10002, United States",12126250981,4.2,Night club,https://mehanatanyc.com/wp-content/uploads/2022/04/mehanata-logo-1-1.png,http://www.mehanatanyc.com/,,"""""",bars,nyc
Tribeca Social,"6 Murray Street, New York, NY 10007, United States",646-454-0344,4.2,Bar,https://tribecasocialny.com/wp-content/uploads/2022/03/TRIBECASOCIAL-MOBILEICON-2022.png,http://www.tribecasocialny.com/,,"""""",bars,nyc
Treadwell Park,"301 South End Ave, New York, NY 10280, United States",212-945-0528,4.3,Bar,https://images.getbento.com/5hXIAnxRkCA1i9lbBagM_tp-logo-2.png,https://www.treadwellpark.com/location/downtown/,,"""""",bars,nyc
The Flower Shop Rooftop,"Rooftop, 77 Walker St, New York, NY 10013, United States",917-868-1539,4.4,Cocktail bar,,,,"""""",bars,nyc
East End Bar & Grill,"1672 3rd Ave, New York, NY 10128, United States",212-348-3783,4.5,Sports bar,,http://www.eastendbar.com/,,"""""",bars,nyc
The Cock,"93 2nd Ave, New York, NY 10009, United States",,3.8,Gay bar,http://thecockbar.com/wp-content/uploads/2020/12/COCK-LOGO-small.png,http://thecockbar.com/,,"""""",bars,nyc
Socialista New York,"376 W Broadway b, New York, NY 10012, United States",,3.8,Lounge,"https://static.wixstatic.com/media/a4d0a3_a0fce91dd9cc4769a32dc585a7f5e75c~mv2.png/v1/fill/w_126,h_103,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo.png",http://www.socialistalounge.com/,,"""""",bars,nyc
Broadstone Bar & Kitchen,"88 Broad St, New York, NY 10004, United States",646-707-0426,4.3,Bar & grill,https://images.squarespace-cdn.com/content/v1/62cdaf52d613526f48f5031d/16ad52fa-bbef-46e7-8998-5189c74306e1/Broadstone%2B%281%29+%282%29.png?format=1500w,http://www.broadstonenyc.com/,,"""""",bars,nyc
Smith & Mills,"71 N Moore St, New York, NY 10013, United States",46-858-1433,4.4,Bar,https://images.getbento.com/accounts/8c646fbfced70875fcd1b79eafca90c5/media/images/76063smithmills-logo.png,http://smithandmills.com/,,"""""",bars,nyc
Refinery Rooftop,"63 W 38th St, New York, NY 10018, United States",646-663-5951,4.4,Restaurant,https://refineryrooftop.com/wp-content/uploads/2019/02/logo.png,http://refineryrooftop.com/,,"""""",bars,nyc
"Captain's Cafe Bar and Grill New York, NY","18 E 33rd St, New York, NY 10016, United States",212-779-0003,4.5,Bar & grill,,https://captains-bar-and-grill-new-york-ny.business.site/,,"""""",bars,nyc
Pubkey,"85 Washington Pl, New York, NY 10011, United States",305-773-4249,4.8,Pub,https://pubkey.bar/images/logo.svg,http://pubkey.bar/,,"""""",bars,nyc
Milady's,"160 Prince St, New York, NY 10012, United States",646-484-6402,4.6,Restaurant,https://images.squarespace-cdn.com/content/v1/630381a05c3e1851ca837492/bc4949fa-5698-40e9-a5ae-9dae3e812e35/MIL_Logo_Wordmark_Cream.png?format=500w,https://www.miladysnyc.com/,,"""""",bars,nyc
The Tuck Room,"11 Fulton St, New York, NY 10038, United States",212-776-8273,4.1,New American restaurant,,https://www.thetuckroom.com/?utm_source=google&utm_medium=local_listings&utm_campaign=yext,,"""""",bars,nyc
Barely Disfigured,"257 Smith St, Brooklyn, NY 11231, United States",718-858-5646,4.8,Cocktail bar,https://uploads-ssl.webflow.com/609ecf32c30a8e06a72071a7/60ba530c68a57a376660444d_BarelyDisfigured_address.svg,http://www.barelydisfigured.com/,,"""""",bars,nyc
Julius',"159 W 10th St, New York, NY 10014, United States",877-746-0528,4.5,Gay bar,,http://juliusbarny.com/,,"""""",bars,nyc
SoHo Cigar Bar,"32 Watts St, New York, NY 10013, United States",212-941-1781,4.6,Cocktail bar,https://images.squarespace-cdn.com/content/v1/63f41572131cec38e6c21a43/896cceba-ecb2-44f9-b498-e0a681e8a3e2/Copper+Soho+Logo.png?format=1500w,http://www.sohocigarbar.com/,,"""""",bars,nyc
Mudville9,"126 Chambers St, New York, NY 10007, United States",212-964-9464,4.2,Pub,https://scontent.fskt2-1.fna.fbcdn.net/v/t39.30808-6/294965778_420678116743027_4975349143128701482_n.png?_nc_cat=110&ccb=1-7&_nc_sid=09cbfe&_nc_ohc=XqLeUReqP-MAX-beNCS&_nc_ht=scontent.fskt2-1.fna&oh=00_AfBIMEmC6JZZ8B9Rt7TNqMA0jT2OjflOgrQIWeOkh94uQg&oe=648CA321,http://www.mudville9.com/?y_source=1_MTgyMzIzMzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,"""""",bars,nyc
Buddha-Bar Restaurant New York,"62 Thomas St, New York, NY 10013, United States",212-256-0360,3.9,Asian fusion restaurant,https://www.buddhabarnewyork.com/app/uploads/2021/06/buddhabarlogo-2-e1622709238566.png,https://www.buddhabarnewyork.com/,,"""""",bars,nyc
Pulqueria Restaurant & Agave Bar,"11 Doyers St, New York, NY 10013, United States",917-261-4116,4.3,Mexican restauran,https://static.spotapps.co/website_images/ab_websites/7386_website/logo_2_new.png,https://blueagavenyc.com/,,"""""",bars,nyc
Split Eights,"40 Exchange Place Ground Floor, New York, NY 10005, United States",646-799-9575,4.6,Cocktail bar,https://images.squarespace-cdn.com/content/v1/5f99d9f7d15295592f9644f8/1603934775671-Q57LMKGI48TPJIFUNJMJ/S8_Logo+-+Bodoni.png?format=1500w,http://www.spliteightsnyc.com/,,"""""",bars,nyc
American Bar - New York,"33 Greenwich Ave, New York, NY 10014, United States",12-370-4600,3.9,Restaurant,https://images.getbento.com/iUid6VR6QBekzTtf1Qkc_logo-light.png,http://www.americanbarnyc.com/,,"""""",bars,nyc
Walker's,"16 N Moore St, New York, NY 10013, United States",212-941-0142,4.5,American restaurant,https://images.squarespace-cdn.com/content/v1/5fa36a06c8e4c154e5e89156/1606096739163-VV99EDN76RAA128O00M0/bwlogo.png?format=1500w,http://walkersbarnyc.com/,,"""""",bars,nyc
Westlight,"111 N 12th St, Brooklyn, NY 11249, United States",718-307-7100,4.3,Cocktail bar,https://images.getbento.com/accounts/e911161024a627d84acd70f29ca7b56f/media/images/38528westlight.png,https://www.westlightnyc.com/,,"""""",bars,nyc
Canary Club,"303 Broome St, New York, NY 10002, United States",,4.4,Restaurant,https://images.squarespace-cdn.com/content/v1/5da65e3eeffe46000d768cd9/1571184229740-WXVRAOCGNJWPPJRELI8J/CC_logo_pink.png?format=original,http://www.canaryclubnyc.com/,,"""""",bars,nyc
Terroir,"24 Harrison St, New York, NY 10013, United States",212-625-9463,4.5,Wine bar,https://images.getbento.com/q8dAeOlHRom8PBtxb4vg_logo-black.png,http://www.wineisterroir.com/,,"""""",bars,nyc
local descolado,"122 St Marks Pl, New York, NY 10009, United States",,,,,,,"""""",bars,nyc
The Django,"2 6th Avenue The Roxy Hotel, Cellar Level, New York, NY 10013, United States",212-519-6649,4.2,Jazz club,https://d3rg18dos0rgue.cloudfront.net/wp-content/uploads/sites/6/2023/06/Wayne-Django.jpg,http://www.thedjangonyc.com/,,"""""",bars,nyc
Double Chicken Please,"115 Allen St, New York, NY 10002, United States",646-678-5452,4.5,Cocktail bar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvxLiG2KgNk3OORGBpe3C2U6jynFDoBAlDj6kvruO32w&s,http://www.doublechickenplease.com/,,"""""",bars,nyc
Bar 8 à 10 pour Catherine & cie,,"Address: 304 Bowery, New York, NY 10012, United States",,,,,,"""""",bars,nyc
Bikini Bar TriBeCa,"148C Duane St, New York, NY 10013, United States",212-797-7997,4.5,Bar,,http://facebook.com/BikiniBarTriBeCa,,"""""",bars,nyc
Temple Court,"5 Beekman St, New York, NY 10038, United States",212-658-1848,4.5,Fine dining restaurant,https://images.getbento.com/accounts/cfa0cd77f1decedb3a411e9b6ad3dfcc/media/images/7259templecourt.png,https://www.templecourtnyc.com/,,"""""",bars,nyc
128 Bar & Bistro,"128 E 63rd St, New York, NY 10065, United States",212-838-2560,,212-838-2560,,https://societyillustrators.org/,,"""""",bars,nyc
The York,"186 Avenue B, New York, NY 10009, United States",646-998-4138,5,Pub,,http://theyork.nyc/,,"""""",bars,nyc
Bill's Bar & Burger,"85 West St, New York, NY 10006, United States",212-894-3800,4.2,Hamburger restaurant,https://images.getbento.com/accounts/fb707fea4db9f8bd2a3c03af160d32b5/media/images/71695Bills_NewYork_Oval_logo2x.png,https://www.billsbarandburger.com/location/bills-bar-and-burger-downtown-nyc/,,"""""",bars,nyc
"Wogies Bar & Grill, FIDI","44 Trinity Pl, New York, NY 10006, United States",212-785-2838,4.2,Bar & grill,https://images.sirved.com/ChIJ9yiUJxFawokRW2rVCZCzxSA/u7mpKuiZF2.png,http://wogies.com/,,"""""",bars,nyc
1803 NYC,"82 Reade St, New York, NY 10007, United States",201-596-8722,4.5,Creole restaurant,https://1803nyc.com/wp-content/uploads/2022/02/white1803_02-02-1024x477.png,https://1803nyc.com/,,"""""",bars,nyc
Manhatta,"28 Liberty St 60th floor, New York, NY 10005, United States",,4.6,New American restaurant,https://images.getbento.com/accounts/1cf2b7830837af2c4dafd105dc16b240/media/images/66572manhatta-large.png,https://www.manhattarestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,,"""""",bars,nyc
City Winery New York City,"25 11th Ave, New York, NY 10011, United States",646-751-6033,4.2,Live music venue,https://citywinery.com/content/Images/CW_Logos/CW-NYC-logo-wht.png,https://citywinery.com/newyork,,"""""",bars,nyc
Balzem,"202 Mott St, New York, NY 10012, United States",646-837-7033,4.3,Mediterranean restaurant,,,,"""""",bars,nyc
Holy Ground,"112 Reade St, New York, NY 10013, United States",646-882-0666,4.5,Steak house,https://images.squarespace-cdn.com/content/v1/5a58dd0dd74cff6c4f0a5c51/1528290616473-UDCWHY8Y7UJRS155IHH4/HGLogo.png?format=1500w,http://holygroundnyc.com/,,"""""",bars,nyc
Coco Bistro,"36 Peck Slip, New York, NY 10038, United States",212-346-9090,4.4,French restaurant,,,,"""""",bars,nyc
Terra,"225 W Broadway, New York, NY 10013, United States",212-625-0900,4.2,Italian restaurant,https://terrawinebar.com/wp-content/uploads/2022/06/Terra-logo.png,https://www.terrawinebar.com/,,"""""",bars,nyc
Fasano Caffè,"5th Avenue, 62nd E 63rd St #815, New York, NY 10065, United States",646-512-0089,,,,,,"""""",bars,nyc
Living Room Bar & Terrace,"8 Albany St, New York, NY 10006, United States",646-826-8641,4.4,Bar,,http://www.starwoodhotels.com/whotels/property/dining/attraction_detail.html?attractionId=1005195942&propertyID=3154,,"""""",bars,nyc
El Vez and Burrito Bar,"259 Vesey St, New York, NY 10282, United States",212-233-2500,4.3,Mexican restaurant,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpjCfVdNfR2cHL0B7nUG9G2yRDXJxlyilDncmf4vT7Fw&s,https://elveznyc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,,"""""",bars,nyc
Bartley Dunnes,"160 W 54th St, New York, NY 10019, United States",646-771-9214,,Irish Pub,https://bartleydunnesnyc.com/wp-content/uploads/2023/04/BARTLEY_LOGO.png,https://bartleydunnesnyc.com/,,"""""",bars,nyc
World Bar,"845 United Nations Plaza, New York, NY 10017, United States",212-935-9361,3.9,Bar,https://images.squarespace-cdn.com/content/v1/5edfdaf0ed9d5b2912833ec3/1597151095317-AVS74D115IVSR8TOCH1U/HH_logo-1.png?format=1500w,http://www.hospitalityholdings.com/,,"""""",bars,nyc
Fish Market,"111 South St, New York, NY 10038, United States",17-363-8101,4.6,Sports bar,,,,"""""",bars,nyc
Ed's Lobster Bar,"155 Grand St, New York, NY 10013, United States",212-343-3236,4.3,Seafood restaurant,https://images.getbento.com/accounts/d54a45e499d8811d70898ac5a3714150/media/images/18310LOGO.png,https://www.lobsterbarnyc.com/,,"""""",bars,nyc
Copper Barrel,"6 Murray Street #1, New York, NY 10007, United States",212-323-7100,2,Bar,,,,"""""",bars,nyc
Ny Bar Group,"205 E 42nd St, New York, NY 10292, United States",,,Bar,,,,"""""",bars,nyc
The Blue Bar at India House,"1 Hanover Square, New York, NY 10004, United States",,4.2,Bar,,http://www.masterpiececaterers.com/india-house/blue-bar/,,"""""",bars,nyc
BOYLE CENTRAL,"45 W 46th St, New York, NY 10036, United States",,5,Irish Pub,,,,"""""",bars,nyc
Biny Karaoke Bar & Lounge,"8 Thompson St, New York, NY 10013, United States",212-334-5490,4.2,Bar,https://www.biny.com/images/Logo-BINY-Web.png,http://www.biny.com/,,"""""",bars,nyc
The rits,"331 W 43rd St, New York, NY 10036, United States",,,Bar,,,,"""""",bars,nyc
St. George Tavern,"103 Washington St, New York, NY 10006, United States",212-240-9868,3.9,Bar & grill,,http://www.stgeorgetavernnyc.com/,,"""""",bars,nyc
"AOA Bar & Grill, 35 Avenue of the Americas","35 6th Ave, New York, NY 10013, United States",,4,Bar & grill,,,,"""""",bars,nyc
K-One Karaoke Bar,"97 Bowery, New York, NY 10002, United States",212-925-1999,3.4,Karaoke bar,,http://www.konektv.com/,,"""""",bars,nyc
Music Girl,"New York, NY 10018, United States",,5,Bar,,,,"""""",bars,nyc
Start St.Patrick's Day Parade,"New York, NY 10017, United States",,5,Bar,,,,"""""",bars,nyc
Market Bar & Cafe,"41 Monroe St, New York, NY 10002, United States",212-571-1060,4.6,American restaurant,,https://www.seamless.com/menu/ccs-cafe-41-monroe-st-new-york/265909?utm_source=seamless_iosapp&utm_medium=content_owned&utm_campaign=menushare,,"""""",bars,nyc
THE ROOF,"215 Chrystie St, New York, NY 10002, United States",212-735-6000,4,Bar,,https://www.publichotels.com/restaurants-and-bars/the-roof,,"""""",bars,nyc
Butterfly Soho,"60 Thompson St, New York, NY 10012, United States",212-219-3200,3.7,Bar,https://images.squarespace-cdn.com/content/v1/546fb2cfe4b0feb6d5801056/ce15f0a6-6a3a-45a3-b99d-565df6172473/butterfly2+copy.png?format=1500w,http://www.butterflysoho.com/,,"""""",bars,nyc
760 Club,"760 8th Ave, New York, NY 10036, United States",,4.2,Night club,,,,"""""",clubs,nyc
Mission NYC,"229 W 28th St, New York, NY 10001, United States",16468500466,2.3,Night club,,,,"""""",clubs,nyc
Paradise Club,"20 Times Square, 701 7th Ave, New York, NY 10036, United States",13475445163,3.7,Night club,https://uploads-ssl.webflow.com/62e006eb8029ce00ebc0b80f/6327724e0bde353b0d0e3a94_Paradise_Club_Logo%402x-p-500.png,http://www.theparadiseclubnyc.com/,,"""""",clubs,nyc
Musica Club NYC,"637 W 50th St, New York, NY 10019, United States",12127471007,3.1,Night club,https://www.musicaclubs.com/musicaclubs-logo-mobile.jpg,http://www.musicaclubs.com/,,"""""",clubs,nyc
LAVO Nightclub,"40 E 58th St, New York, NY 10022, United States",12125842700,2.8,Night club,,https://taogroup.com/venues/lavo-nightclub-new-york/,,"""""",clubs,nyc
TAO Downtown Nightclub,"369 W 16th St, New York, NY 10011, United States",212-888-1440,2.8,"Night club in New York City, New York",https://taogroup.com/,https://taodowntown.com/nightclub/,,"""""",clubs,nyc
Retroclubnyc,"9 E 45th St, New York, NY 10017, United States",516-606-5710,4.1,Night club,,http://www.retroclubnyc.com/,,"""""",clubs,nyc
Club 51 NYC,"627 W 51st St 2nd floor, New York, NY 10019, United States",347-948-5151,,,https://club51nyc.com/wp-content/uploads/2022/12/51logo.png,https://club51nyc.com/,,"""""",clubs,nyc
1879 Club,"New York, NY 10119, United States",,,,,,,"""""",clubs,nyc
Rumpus Room,"249 Eldridge St, New York, NY 10002, United States",212-777-5153,4.4,"Night club in New York City, New York",https://images.getbento.com/accounts/e40fbce5352259ebc9bf57010e53aef4/media/accounts/media/OxdUsKQ3SHKxL5fwYN9E_rumpus%20room%20png.png,http://www.rumpusroomnyc.com/,,"""""",clubs,nyc
Vision NYC Club,"514 W 42nd St, New York, NY 10036, United States",13477249386,,Night club,,https://www.visionnyc.co/,,"""""",clubs,nyc
Club Prada,"150 W 56th St Unit 3509, New York, NY 10019, United States",,4.9,Lounge,,,,"""""",clubs,nyc
"Somewhere Nowhere NYC - Lounge, Nightclub & Rooftop Pool","112 W 25th St, New York, NY 10001, United States",12124047969,2.7,Night club,https://somewherenowherenyc.com/wp-content/uploads/2022/03/favicon-logo-white.png.webp,https://www.somewherenowherenyc.com/,,"""""",clubs,nyc
Level 3 Nightclub,"605 W 48th St, New York, NY 10036, United States",,4.7,Night club,,,,"""""",clubs,nyc
Bowery New York,"125 W 26th St, New York, NY 10001, United States",,,Night club,,,,"""""",clubs,nyc
Club Cache,"35 E 13th St 2nd fl, New York, NY 10003, United States",19176848584,4,Night club,https://www.clubcachenyc.com/uploads/1/1/6/2/116239261/editor/club-cache-logo-merged.png?1672700875,http://www.clubcachenyc.com/,,"""""",clubs,nyc
Red Rabbit Club,"408 W 15th St, New York, NY 10011, United States",17189163690,2.6,Night club,,,,"""""",clubs,nyc
Club Rapture,"4 Pennsylvania Plaza, New York, NY 10001, United States",,5,Lohan Club,,,,"""""",clubs,nyc
Lohan Club,"512 W 42nd St Dept Lohan, New York, NY 10036, United States",,,Night club,,,,"""""",clubs,nyc
